DATE,CPIAUCSL
1947,21.48
1948,23.68
1949,24.01
1950,23.51
1951,25.38
1952,26.45
1953,26.64
1954,26.94
1955,26.77
1956,26.83
1957,27.67
1958,28.64
1959,29.01
1960,29.37
1961,29.84
1962,30.04
1963,30.44
1964,30.94
1965,31.28
1966,31.88
1967,32.9
1968,34.1
1969,35.7
1970,37.9
1971,39.9
1972,41.2
1973,42.7
1974,46.8
1975,52.3
1976,55.8
1977,58.7
1978,62.7
1979,68.5
1980,78.0
1981,87.2
1982,94.4
1983,97.9
1984,102.1
1985,105.7
1986,109.9
1987,111.4
1988,116.0
1989,121.2
1990,127.5
1991,134.7
1992,138.3
1993,142.8
1994,146.3
1995,150.5
1996,154.7
1997,159.4
1998,162.0
1999,164.7
2000,169.3
2001,175.6
2002,177.7
2003,182.600
2004,186.300
2005,191.600
2006,199.300
2007,203.437
2008,212.174
2009,211.933
2010,217.488
2011,221.187
2012,227.842
2013,231.679
2014,235.288
2015,234.747
2016,237.652
2017,243.618
2018,248.859
2019,252.718
2020,259.037
2021,262.650
2022,282.599
2023,300.536
